log.size,log.size.se,log.rw,log.rw.se,log.color,log.col.se,binom
4.060443011,0.003147714,-0.476924072,0.091398724,-3.934729917,0.570522181,Didymops_transversa
4.26969745,0.002553423,-0.508497335,0.056564762,-6.907755279,0.651004008,Macromia_magnifica
4.418840608,0.001796017,-0.458027437,0.04717411,-6.907755279,0.651004008,Macromia_taeniolata
4.25561271,0.003662211,-0.416160397,0.069984249,-6.907755279,0.651004008,Macromia_illinoiensis
4.204692619,0.002724912,-0.455188544,0.048597602,-1.541779264,0.073687023,Epitheca_princeps
3.701301974,0.008629761,-0.351397886,0.079616031,-2.882403588,0.119117358,Epitheca_cynosura
3.839452313,0.005552022,-0.421725628,0.064337215,-6.907755279,0.651004008,Cordulia_shurtleffii
3.828641396,0.00396877,-0.362905494,0.071836146,-3.977180758,1.410556154,Somatochlora_minor
3.839452313,0.005068378,-0.455062049,0.067036873,-4.751777671,0.806896588,Somatochlora_walshii
3.881563798,0.003764216,-0.480366416,0.047608368,-6.907755279,0.651004008,Somatochlora_brevicincta
4.119037175,0.002423869,-0.508119263,0.06858429,-6.907755279,0.651004008,Somatochlora_cingulata
3.951243719,0.004053952,-0.300585478,0.038641424,-1.180907531,0.178152458,Brachymesia_gravida
3.198673118,0.008602449,-0.130620183,0.046379048,0.0009995,0.006187372,Perithemis_intensa
3.113515309,0.014044173,-0.251314428,0.052793352,0.0009995,0.006187372,Perithemis_tenera
3.881563798,0.004346465,-0.218002152,0.050877515,-6.907755279,0.651004008,Pantala_flavescens
3.650658241,0.006705334,-0.216671037,0.058315968,-2.973579997,0.550055626,Miathyria_marcella
3.970291914,0.006595206,-0.141650517,0.073919765,-1.414943801,0.616015827,Tramea_lacerata
3.850147602,0.003884337,-0.148845627,0.036703522,-2.311993938,0.288478245,Tramea_calverti
3.850147602,0.006342498,-0.239229688,0.059860557,-1.819018976,0.403645281,Dythemis_fugax
3.749504076,0.006074427,-0.268263987,0.058025346,-6.907755279,0.651004008,Dythemis_nigrescens
4.051784948,0.004098911,-0.401126707,0.06290172,-6.907755279,0.651004008,Brechmorhoga_mendax
3.921973336,0.003615153,-0.126484147,0.042318915,-1.543405717,0.738629353,Paltothemis_lineatipes
3.597312261,0.006456587,-0.013793322,0.047893673,-1.285551576,1.102763267,Pachydiplax_longipennis
3.417726684,0.009771661,-0.282232467,0.064691386,-6.907755279,0.651004008,Micrathyria_aequalis
3.650658241,0.007242385,-0.283362412,0.068531427,-6.907755279,0.651004008,Idiataphe_cubensis
3.663561646,0.004681005,-0.167054085,0.035388671,-1.082707374,0.247562042,Celithemis_eponina
3.449987546,0.007481041,-0.135801541,0.053067222,-1.491654877,0.058048626,Celithemis_elisa
3.384390263,0.006188067,-0.206336433,0.059117444,-3.55872877,0.431557184,Leucorrhinia_hudsonica
3.540959324,0.008081692,-0.22677332,0.051404724,-3.579726152,0.35530313,Leucorrhinia_glacialis
3.540959324,0.00529145,-0.302280872,0.060602357,-3.515038187,0.381580582,Leucorrhinia_proxima
3.433987204,0.014009473,-0.255933375,0.099258357,-3.580722835,0.542271941,Leucorrhinia_intacta
3.701301974,0.010406563,-0.31691171,0.079169251,-6.907755279,0.651004008,Sympetrum_corruptum
3.526360525,0.010278366,-0.230523659,0.059526629,-1.127661746,0.155070487,Sympetrum_illotum
3.449987546,0.006691527,-0.336472237,0.063626086,-6.907755279,0.651004008,Sympetrum_danae
3.526360525,0.006199651,-0.249215791,0.054904571,-3.156541442,0.545250682,Sympetrum_costiferum
3.526360525,0.005369248,-0.307484699,0.049785072,-0.796287939,0.047293652,Sympetrum_semicinctum
3.496507561,0.007141127,-0.405465108,0.073198028,-3.600502343,0.675005821,Sympetrum_vicinum
3.772760938,0.007661149,-0.388370674,0.075240529,-1.827876636,0.359022293,Sympetrum_madidum
3.610917913,0.006369362,-0.315081046,0.056388168,-6.907755279,0.651004008,Sympetrum_ambiguum
3.511545439,0.007034583,-0.215708573,0.062988839,-6.907755279,0.651004008,Sympetrum_rubicundulum
3.583518938,0.005071016,-0.306374206,0.054967227,-6.907755279,0.651004008,Sympetrum_pallipes
3.555348061,0.005215873,-0.356674944,0.060479597,-3.565576853,0.424863853,Sympetrum_obtrusum
3.511545439,0.007034583,-0.292669614,0.055474629,-3.5591051,0.466484967,Sympetrum_internum
2.944438979,0.013580018,-0.418710335,0.070862019,-6.907755279,0.651004008,Nannothemis_bella
4.051784948,0.004490076,-0.375484276,0.060994281,-6.907755279,0.651004008,Erythemis_vesiculosa
3.713572067,0.004452698,-0.263584521,0.039074151,-6.907755279,0.651004008,Erythemis_collocata
3.713572067,0.005141405,-0.263584521,0.042975361,-6.907755279,0.651004008,Erythemis_simplicicollis
3.725693427,0.008796203,-0.358397597,0.087970064,-0.897865371,0.193250462,Erythrodiplax_umbrata
3.258096538,0.007020786,-0.313657559,0.050854655,-3.810410409,0.49662761,Erythrodiplax_minuscula
3.725693427,0.008796203,-0.244453338,0.085533716,-0.331176568,0.127023774,Pseudoleon_superbus
3.688879454,0.006453964,-0.223143551,0.058625652,-2.804435234,0.49376697,Crocothemis_servilia
3.921973336,0.00466699,-0.233093882,0.071731148,-6.907755279,0.651004008,Orthemis_ferruginea
3.80666249,0.006624296,-0.325422401,0.092911023,-0.729811165,0.023146625,Plathemis_lydia
3.817712326,0.005179748,-0.262364265,0.063143313,-0.895494841,0.29261187,Plathemis_subornata
3.583518938,0.006546233,-0.269332934,0.044333333,-2.975929646,0.098726156,Ladona_deplanata
3.725693427,0.005678886,-0.291706222,0.07325833,-3.506557897,0.009099955,Ladona_julia
3.839452313,0.003205709,-0.313091788,0.043347994,-1.098412309,0.197547495,Libellula_semifasciata
3.784189634,0.003387836,-0.24323031,0.029308837,-2.000096515,0.40845988,Libellula_quadrimaculata
4.025351691,0.005646249,-0.311779624,0.079640123,-1.170578326,0.15779685,Libellula_croceipennis
4.034240638,0.003731106,-0.273040522,0.054548081,-0.548565951,0.112068501,Libellula_saturata
3.998200702,0.003868013,-0.214011067,0.05277198,-1.237874356,0.030541872,Libellula_pulchella
3.912023005,0.005163462,-0.248461359,0.061017093,-1.045436151,0.121837992,Libellula_forensis
3.931825633,0.004621243,-0.255524961,0.056026138,-6.907755279,0.651004008,Libellula_comanche
3.772760938,0.004845976,-0.246400414,0.042227009,-2.766642802,0.51551684,Libellula_cyanea
3.90197267,0.006732862,-0.238411023,0.068710891,-1.903808973,0.458241763,Libellula_flavida
4.110873864,0.003455886,-0.282232467,0.041938941,-2.315280723,0.287996552,Libellula_axilena
4.085976313,0.003068365,-0.184003643,0.038206809,-3.05993146,0.416949849,Libellula_vibrans
3.998200702,0.005116684,-0.272507274,0.054422136,-6.907755279,0.651004008,Libellula_needhami
3.931825633,0.005062237,-0.268263987,0.06760594,-6.907755279,0.651004008,Libellula_incesta
3.828641396,0.00396877,-0.16507975,0.040063607,-0.923818998,0.039041479,Libellula_luctuosa
3.979681654,0.005910025,-0.316120007,0.072007952,-6.907755279,0.651004008,Libellula_jesseana
3.998200702,0.002735175,-0.284628635,0.027143597,-6.907755279,0.651004008,Libellula_auripennis